id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270835938822774784,G7j6yAcnT4SWaIC,2020-06-10 21:51:13,皆様おはようございます😃石狩地方はそうでもありませんが、梅雨も近づき暑さが大変みたいです。水分補給で熱中症とコロナに気をつけて頑張って下さい💪所で渡部氏が浮気しまくりで番組出演自粛でスポンサーの取扱が賑かです‼️そんなことより反日フェイク垂れ流しの番組の方が重罪だろが‼️😡😡,36,4,2267,2622,1038946921358884864,
1270827982387478528,maria_lie_0824,2020-06-10 21:19:36,RT @HE0x1teK4CrnkKo: 近い将来全ての店がこうなります。コロナの裏で5/27に可決したスーパーシティ法案、超監視社会の序章、人と人を分断する為のフェイク騒動です。#ソーシャルディスタンスは社会実験https://t.co/W9mb56Fkgq,0,9,223,487,752766515124908032,
1270817537375129600,fukashigi22b,2020-06-10 20:38:06,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,861,841,1161150830457704453,
1270814399591153664,panda_open,2020-06-10 20:25:38,# コロナはフェイク↑このタグ読んだら、ガチで頭沸いてるツイートしかなかった…新型コロナウィルスで亡くなってる人が世界中でたくさんいるのに。世界中の医療関係者が頑張ってるのになんでこんなこと思えるのだろう🤔,1,0,472,2193,2793287239,
1270795359464288256,freedom29g,2020-06-10 19:09:58,"コロナ騒動はフェイクと主張してる人らしいhttps://t.co/qvftGADTSy / “サスケ（コロナ騒動は茶番劇） on Twitter: ""昨日まで松屋にクリア版が無かったのに今朝行ったらクリア版がついてる事に対して本社にクレーム入れました。意味の無い事は辞めて下さい。辞めるまで松屋…” https://t.co/wBaDma84n4",0,0,339,902,1151867813008568321,
1270793596652814337,JQfwfcIiPZsTDdr,2020-06-10 19:02:58,RT @R49V7FmAbGNanNk: 【コロナの時系列の復習🐟】今回は大騒動だからちょっと丁寧にやってくぞ。正直フェイクを見破るのは簡単だが、未来のヤラセを予測するのはめちゃくちゃ難易度高いし人によって流派が違う。わいのやり方なのでまぁ…悪しからず…,0,64,356,1597,3146205349,
1270777566148739075,HxHYROlcoF3F5SG,2020-06-10 17:59:16,RT @shiroi_suna_: @aiaipink8 @uminohana 却下って何だろう、却下って。子供が熱中症で死んだらどうするつもりなのか？子供の命より世間体や自分の保身の方が大事なのか？そんな教師どもは辞めちまえ❗　教師の資格なし。そもそも、コロナなんてフ…,0,3,120,132,1174883556725673984,
1270754091908489216,mamedaifuku70,2020-06-10 16:25:59,RT @shiroi_suna_: @aiaipink8 @uminohana 却下って何だろう、却下って。子供が熱中症で死んだらどうするつもりなのか？子供の命より世間体や自分の保身の方が大事なのか？そんな教師どもは辞めちまえ❗　教師の資格なし。そもそも、コロナなんてフ…,0,3,1481,895,1151502632063651843,
1270748821773938688,ysmrnappa,2020-06-10 16:05:03,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,1939,1492,228647291,
1270748173565177856,rknkmr171,2020-06-10 16:02:28,RT @HE0x1teK4CrnkKo: 近い将来全ての店がこうなります。コロナの裏で5/27に可決したスーパーシティ法案、超監視社会の序章、人と人を分断する為のフェイク騒動です。#ソーシャルディスタンスは社会実験https://t.co/W9mb56Fkgq,0,9,344,883,807858623648972804,
